shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
AFG,0,99.300003,.36666667,.69999695,1,0,,1,,4.5400982,
AGO,68.699997,0,.13666667,11.500004,0,0,5.3636365,1,7.7706451,5.6347895,1
ARE,.40000001,94.900002,.26666668,4.3999987,1,0,7.181818,0,9.8042192,,
ARG,91.599998,.2,.37777779,5.5000014,0,0,6.3863635,1,9.1334591,4.232656,1
ARM,0,0,.44444445,100,0,0,,0,7.6824822,,
AUS,29.6,.2,.30000001,46.700001,1,0,9.318182,0,9.8979721,2.1459312,1
AUT,88.800003,.60000002,.52444446,4.099997,0,0,9.727273,0,9.9748774,,
AZE,0,93.400002,.44777778,6.5999985,0,0,,0,7.3065314,,
BDI,78.300003,.89999998,.036666665,15.899997,0,0,,1,6.5652652,5.6347895,
BEL,90,1.1,.56111109,8.5,0,0,9.681818,1,9.9928713,,
BEN,18.5,15.2,.10333334,63.5,0,1,,1,7.0900769,5.5854492,
BFA,9,43,.14444445,46.400002,0,1,4.4545455,1,6.84588,5.6347895,1
BGD,.2,85.900002,.26666668,13.699999,1,0,5.1363635,0,6.877296,4.2684379,1
BGR,.5,10.6,.47777778,88.5,0,0,8.909091,0,8.4574432,,
BHR,.80000001,95,.2888889,3.3,1,0,8,0,9.6859531,,
BHS,25.5,0,.26833332,27.300003,1,0,7.5,0,9.2854481,4.4426513,1
BIH,15,40,.48888889,41,0,0,,0,,,
BLR,14,0,.58888888,86,0,0,,0,8.340456,,
BLZ,66.800003,0,.19055556,19.999996,1,0,,0,8.3779316,5.0955892,
BOL,92.5,0,.18888889,5.1999998,0,0,5.6363635,1,7.9266024,4.2626801,1
BRA,87.800003,.1,.11111111,8.0999966,0,0,7.909091,1,8.7274542,4.2626801,1
BRB,5.9000001,.2,.14555556,60.700001,1,0,,0,9.2667208,4.4426513,
BTN,0,5,.30333331,95,1,0,,0,,,
BWA,9.3999996,0,.24444444,63.799999,1,0,7.7272725,0,8.855093,,
CAF,33.099998,3.2,.077777781,13.700002,0,1,,1,7.192934,5.6347895,
CAN,46.599998,.60000002,.66666669,23.200001,1,0,9.727273,0,9.9864492,2.7788193,1
CHE,52.799999,.30000001,.52222222,3.7,0,0,10,0,10.120211,,
CHL,82.099998,0,.33333334,16.000002,0,0,7.818182,1,9.336092,4.232656,1
CHN,0,2.4000001,.3888889,97.599998,0,0,7.7727275,0,7.8860812,4.7706847,
CIV,18.5,24,.088888891,52.799999,0,1,7,1,7.4442487,6.5042882,1
CMR,35,22,.06666667,24.9,0,0,6.4545455,1,7.5010819,5.6347895,1
COG,53.900002,.40000001,.011111111,20.799999,0,1,4.681818,1,7.420579,5.480639,1
COL,96.599998,.2,.044444446,2.3000016,0,0,7.318182,1,8.8098631,4.2626801,1
COM,.1,99.699997,.13444445,.10000305,0,1,,1,7.3839893,,
CPV,95.900002,0,.17777778,1.0999985,0,0,,1,7.9793391,,
CRI,90.5,0,.11111111,3.6999998,0,0,7.0454545,1,8.7948246,4.3579903,1
CZE,39.200001,0,.54944444,56.200001,0,0,8.863636,0,9.2043219,,
DEU,35,.02,.56666666,18.579998,0,0,,0,9.9354706,,
DJI,6.6999998,90.599998,.12555556,2.5000017,0,1,,1,,3.2580965,
DNK,.60000002,.2,.62222224,4.0000029,0,0,9.727273,0,10.005592,,
DOM,96.599998,0,.21111111,2.0000014,0,1,6.181818,1,8.3640423,4.8675346,1
DZA,.5,99.099998,.31111112,.40000153,0,1,6.5,1,8.3893595,4.3592696,1
ECU,96.400002,0,.022222223,1.6999985,0,0,6.5454545,1,8.4701014,4.2626801,1
EGY,.2,81.800003,.30000001,17.799997,1,0,6.7727275,1,7.9515595,4.2165623,1
ERI,0,33,.16666667,,0,0,,1,6.6200733,,
ESP,96.900002,0,.44444445,2.9999986,0,0,9.681818,1,9.6184683,,
EST,2,.0099999998,.65555555,31.99,0,0,,0,8.3938951,,
ETH,.69999999,31.4,.088888891,64.099998,0,0,5.7272725,1,6.1092477,3.2580965,1
FIN,.1,0,.71111113,6.8000016,0,0,9.727273,0,9.826066,,
FJI,9,7.8000002,.2,44.100002,1,0,,0,8.3015213,2.4336133,
FRA,76.400002,3,.51111114,18.199999,0,0,9.727273,1,9.9636412,1.0577903,
GAB,65.199997,.80000001,.011111111,15.200004,0,1,7.818182,1,8.9078827,5.6347895,1
GBR,13.1,1.4,.60000002,69.400002,0,0,9.772727,0,9.87817,.93609333,
GEO,1,11,.46666667,88,0,0,,0,7.3714895,,
GHA,18.700001,15.7,.088888891,39.799999,1,0,6.2727275,0,7.36518,6.5042882,1
GIN,1.1,69,.12222222,29.799999,0,1,6.5454545,1,7.4899707,6.1800165,1
GMB,1.9,84.800003,.14755556,12.899997,1,0,8.272727,0,7.2723985,7.2930179,1
GNB,10.2,38.299999,.13333334,50.900002,0,0,4.5454545,1,,5.1038828,
GRC,.40000001,1.5,.43333334,98,0,0,7.818182,1,9.3976498,,
GTM,94,0,.17,1.0999999,0,0,5.1363635,1,8.2940493,4.2626801,1
GUY,18,9,.055555556,55,1,0,5.8863635,0,7.9047041,3.4713452,1
HKG,7.9000001,.5,.24611111,84.099998,1,0,8.136364,0,10.04975,2.7013612,1
HND,95.800003,.1,.16666667,1.499997,0,0,5.318182,1,7.6870804,4.3579903,1
HRV,76.5,1.2,.50111109,21.9,0,0,,0,8.4184771,,
HTI,82.599998,0,.21111111,4.6000013,0,1,3.7272727,1,7.1467724,4.8675346,1
HUN,53.900002,0,.52222222,24.499998,0,0,9,0,8.8098631,,
IDN,2.7,43.400002,.055599999,49.099998,0,0,7.590909,1,8.0709057,5.1357985,1
IND,1.3,11.6,.22220001,86,1,0,8.272727,0,7.3260002,3.8842406,1
IRL,95.300003,0,.58888888,3.599997,1,0,9.727273,0,9.7693844,,
IRN,.1,97.900002,.35555556,1.9999985,0,0,4.7727275,1,8.6052036,,
IRQ,1.8,95.800003,.36666667,2.399997,1,0,1.6363636,1,,,
ISL,.69999999,0,.72222221,2.7000015,0,0,9.727273,0,9.9436693,,
ISR,1,8,.34777778,90.800003,1,0,8.545455,0,9.7841406,,
ITA,83.199997,.1,.47222221,16.300003,0,0,9.454545,1,9.8979721,,
JAM,9.6000004,.1,.20166667,34.799999,1,0,7.090909,0,8.1886892,4.8675346,1
JOR,1.7,93,.34444445,5,1,0,6.7727275,1,8.1718817,,
JPN,.60000002,0,.40000001,98.5,0,0,9.727273,0,10.034077,,
KAZ,3,47,.53333336,48,0,0,,0,8.1315308,,
KEN,26.4,6,.011111111,48.300003,1,0,6.0454545,0,7.0561752,4.9767337,1
KGZ,0,70,.45555556,30,0,0,,0,7.5755849,,
KOR,3.9000001,0,.41111112,83.900002,0,0,8.636364,0,9.4157276,4.7706847,
KWT,2.0999999,95.099998,.32555553,2.7000017,1,0,7.0454545,1,9.8036671,,
LAO,.80000001,1,.2,98,0,1,,1,7.0900769,4.9416423,
LBR,1.9,21.200001,.07,58.299999,0,0,3.6363637,0,,6.1800165,
LBY,.2,98.099998,.27777779,1.6000016,0,0,5.2727275,1,,,
LKA,6.8000002,7.1999998,.077777781,85.599998,1,0,6.0454545,0,7.7319307,4.2456341,1
LSO,43.5,0,.32555553,26.700001,1,0,,0,7.3065314,,
LTU,80,0,.62222224,,0,0,,0,8.2374792,,
LUX,93,0,.54944444,5.8000002,0,0,10,1,10.28875,,
LVA,18.200001,.0099999998,.63333333,67.690002,0,0,,0,8.154788,,
MAR,.2,99.400002,.35555556,.39999849,0,1,7.090909,1,8.0423784,4.3592696,1
MDA,0,0,.52222222,100,0,0,,0,7.377759,,
MDG,26,1.7,.22222222,50.299999,0,1,4.4545455,1,6.8351846,6.2842088,1
MEX,94.699997,0,.25555557,4.1000032,0,0,7.5,1,8.9437675,4.2626801,1
MKD,.5,30.1,.4611111,68.400002,0,0,,0,8.0614872,,
MLI,.69999999,80,.18888889,19.1,0,1,4,1,6.5652652,7.986165,1
MLT,97.300003,0,.39444444,2.1999969,1,0,7.2272725,1,9.427063,2.7911651,1
MMR,.89999998,3.5999999,.24444444,92.300003,1,0,5.7727275,0,,3.5438535,
